,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
4,B001GAOVBW,"L'Occitane Immortelle Cream Mask, 4.4 oz.",Treatments & Masks,5.0,0.9579109837185746,0.958,,,0.4558,
35,B007Z90QDK,"Radical Skincare Anti-Aging Restorative Moisture, 1.7 fl oz",Treatments & Masks,4.3,0.9203499700822237,0.92,0.8316,,0.2732,0.8316
61,B000ULF8Q0,Epicuren Discovery Evening Emulsion Enzyme Moisturizer,Treatments & Masks,4.3,0.9046610857582044,0.905,,,0.5634777777777777,0.4337
68,B005QHT7TW,Rodial Glam Balm Multi-1.35 oz,Treatments & Masks,2.0,0.9001441966464963,0.9,,,,
89,B0001EL5KO,"PCA SKIN Après Peel Hydrating Balm, 1.7 oz.",Treatments & Masks,3.9,0.8903864738108278,0.89,0.6151666666666668,0.6616666666666667,0.45125,0.54314
105,B00283TEJ0,"Epicuren Discovery Colostrum Hydrating Mist, 2 Fl oz",Toners & Astringents,5.0,0.8830759932544054,0.883,,,,
107,B00C3ACPBM,"Epicuren Discovery Noni Skin Elixir, 2 Fl oz",Toners & Astringents,4.3,0.8820244343358438,0.882,,,0.4389,
274,B008H6MTOY,"Erno Laszlo Shake-It Tinted Treatment, Shade 2, 6.8 fl. oz.",Toners & Astringents,5.0,0.7827902450973142,0.783,,0.3612,0.621175,
344,B00172DITK,Mario Badescu Aloe Lotion,Toners & Astringents,3.4,0.7487299464386008,0.749,0.331775,,,
410,B0017WJCVI,"Borghese Crema Straordinaria Tonic Balancing Softening Toner, 8.4 fl. oz.",Toners & Astringents,5.0,0.7071596853613454,0.707,,,0.3612,
92,B000IOLA20,Bioelements Starter Kit for Dry Skin,Sets & Kits,4.6,0.8879951606824301,0.888,0.3612,,0.5710666666666667,0.6693666666666668
326,B0153G2PPS,ELEMIS Voyage of Discovery Kit,Sets & Kits,3.9,0.7562966582401127,0.756,,,0.5155,
424,B00MI3UDO0,bliss Triple Oxygen Good to Glow Set,Sets & Kits,3.5,0.7027828012736966,0.703,,,0.6705,
441,B0153ETTBS,ELEMIS Super Enriching Future Kit,Sets & Kits,4.3,0.6953851285547812,0.695,,,0.508375,0.62685
474,B00E0NDCA8,bliss Grapefruit + Aloe Suds and Butter Set,Sets & Kits,5.0,0.6787640192376947,0.679,,,,
12,B00DRK72B0,"Jurlique Purely Age Defying Firming Face Oil, 1.6 Fl Oz",Not listed,4.2,0.9452091062927508,0.945,0.3252,,0.5919764705882353,0.5859
53,B00BJ1C6CE,"Eau Thermale Avène Mattifying Fluid, 1.7 fl. oz.",Not listed,3.9,0.9075762903241349,0.908,0.7164,0.6369,0.5755894736842105,0.40085000000000004
157,B00P2UY7ZM,"Osmosis Quench Intense Moisturizer, Travel Size, 0.2 fl. Oz.",Not listed,5.0,0.8540773463301561,0.854,,,,
180,B01A5OO16E,"philosophy renewed hope for men mattifying moisturizer, 2.5 fl. oz.",Not listed,3.8,0.8418031029435943,0.842,0.44146666666666673,0.38385,0.563290625,0.27
186,B000Z61VVQ,"Juice Beauty SPF 30 Tinted Mineral Moisturizer, 2  Fl Oz",Not listed,3.9,0.8364460246936932,0.836,0.4416357142857143,0.44552222222222226,0.5497802919708029,0.53225
132,B00819T7WO,"Aromatherapy Associates Mattifying Purifying Facial Scrub, 3.4 fl.oz.","Exfoliators, Polishes & Scrubs",5.0,0.8682819388162222,0.868,,,0.5924,
236,B00C5GVHO0,"eShave Face Scrub, 1.7 oz.","Exfoliators, Polishes & Scrubs",5.0,0.8085351330187074,0.809,,,,0.802
485,B000IB0GO6,Task Essential New Skin Facial Exfoliator,"Exfoliators, Polishes & Scrubs",5.0,0.6741153882914565,0.674,,,,
499,B00260GSCG,"DDF Acne Scrub, 8.45 fl. oz.","Exfoliators, Polishes & Scrubs",3.5,0.6664312563617518,0.666,,0.4518,0.6369,
544,B0001EL5OU,"PCA Skin Gentle Exfoliant, 7 oz.","Exfoliators, Polishes & Scrubs",4.2,0.6440849123574814,0.644,0.6536000000000001,0.75335,0.59546,0.76735
0,B000CQYN9Q,"Bioelements Absolute Moisture, 2.5-Ounce",Creams & Moisturizers,3.8,0.9813735641891372,0.981,0.5413,0.5055999999999999,0.53096,0.588375
1,B000CR0J0M,"Bioelements Crucial Moisture, 2.5 Ounce",Creams & Moisturizers,4.2,0.9607483643209451,0.961,0.6657285714285714,0.694,0.5827242857142857,0.5179555555555555
2,B00FCM420U,Bioderma Atoderm PP Ultra-Nourishing Emollient Balm 500ml/16.7oz,Creams & Moisturizers,4.6,0.9603952330348686,0.96,0.49845,0.5994,0.6255200000000001,
