,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
0,B008H6MSZO,"Erno Laszlo Transphuse Age Defying Mask, 3.3 fl. oz.",Treatments & Masks,5.0,0.9902777962939391,0.99,,,,
4,B0177RLDYU,"THALGO Mceutic Pro-Renewal Cleanser, 6.76 oz",Treatments & Masks,5.0,0.9564143853812038,0.956,,0.802,,
55,B00C1SZHBG,"DR. ALKAITIS Organic Flower Mask, 1.25 fl. oz.",Treatments & Masks,5.0,0.8845628076322501,0.885,,,,
56,B00HYLOVLW,"Pevonia Micro Retinol Foaming Cleanser, 4 Fl Oz",Treatments & Masks,3.8,0.8818677198826467,0.882,,0.6486,,0.7177
102,B00LNCB4A4,"Borghese Fango Purificante Purifying Clay Cleanser, Grey, 3.5 oz.",Treatments & Masks,4.0,0.8543365722022522,0.854,0.3252,0.5194,,0.4019
131,B0019V5HI4,"Pevonia Combination Skin Cleanser, 6.8 Fl Oz",Toners & Astringents,3.6,0.8315551711848038,0.832,0.5419666666666667,0.4868333333333334,0.44245,0.5918666666666668
152,B01HBS7XP8,"COSMEDIX Benefit Balance Antioxidant Infused Toning Mist, 5 Fluid Ounce",Toners & Astringents,5.0,0.8113072163266861,0.811,,,,
164,B00T72SWZM,"COSMEDIX Purity Solution, 3.3 Fluid Ounce",Toners & Astringents,5.0,0.7993237718861852,0.799,,0.438,0.5563,
223,B002Q7K820,"Pevonia Spateen Blemished Skin Toner, 4 Fl Oz",Toners & Astringents,4.3,0.734535856343981,0.735,0.7403,0.6016999999999999,,
241,B0018QXRCI,"Elemis Cleanser, Rehydrating Ginseng Toner For Women, 7.0 fl. oz.",Toners & Astringents,5.0,0.7157602291311188,0.716,,,,
92,B00T3KEDRE,Epicuren Discovery Six-Step System,Sets & Kits,3.3,0.8624002517299496,0.862,,,,
182,B00FPORVRQ,Rodial Stemcell Super-food Kit,Sets & Kits,4.2,0.786905231581964,0.787,,,0.61578,
228,B0153G2PPS,ELEMIS Voyage of Discovery Kit,Sets & Kits,3.9,0.7268586598453828,0.727,,,0.5155,
296,B005R2ALLE,bliss 'Zest' To Thrill Set,Sets & Kits,5.0,0.6544956733022715,0.654,,,,
319,B00O5J51YW,PCA SKIN The Normal Skin Trial System,Sets & Kits,3.0,0.6294632872285786,0.629,,,,0.4215
418,B018UR03WY,"NEOVA Dual Matrix [Retinol + DNA], 1.0 Fl Oz",Not listed,5.0,0.5487755968437916,0.549,,,,
461,B000ULR8KE,"Pevonia RS2 Concentrate Rose, 1 Fl Oz",Not listed,3.8,0.52906189600761,0.529,0.7078000000000001,0.3977,0.47846666666666665,0.62975
485,B000ZJO1YW,"Pevonia Ligne Funamentale ""C"" Complexe , 1 Fl Oz",Not listed,4.1,0.5149145442022829,0.515,0.5423,,0.6222,0.54785
562,B014UC32T4,"DDF Micro-Derma Crystals Polishing Gel, 2.0 Oz",Not listed,5.0,0.4800944791795172,0.48,,,,
618,B00BJ1C6CE,"Eau Thermale Avène Mattifying Fluid, 1.7 fl. oz.",Not listed,3.9,0.4569732226141199,0.457,0.7164,0.6369,0.5755894736842105,0.40085000000000004
31,B00260GSWQ,"DDF Advanced Micro-Exfoliation Cleanser, 6 fl. oz.","Exfoliators, Polishes & Scrubs",3.2,0.9081005265259483,0.908,,0.39923333333333333,,
144,B000A3UX6S,"Juice Beauty Exfoliating Cleanser, 4  fl. oz.","Exfoliators, Polishes & Scrubs",3.2,0.8161405875073191,0.816,,,0.4183333333333333,0.70235
150,B019QSK1YG,"Julep Korean Skincare Exfoliating, Hydrating Face Wash Set for Normal to Dry Sensitive Skin","Exfoliators, Polishes & Scrubs",3.6,0.814381879261566,0.814,0.8835500000000001,0.9545,0.5800583333333332,
197,B003K5JVHU,"CosMedix Purity Clean Exfoliating Cleanser, 100ml/3.3oz","Exfoliators, Polishes & Scrubs",3.6,0.7724051010988269,0.772,0.395,0.5113687499999999,0.51346,0.6439428571428572
235,B00EAUMOXW,"DDF Glycolic 5% Exfoliating Wash, 6 fl. oz.","Exfoliators, Polishes & Scrubs",4.1,0.7197111047019756,0.72,0.7684,0.47266666666666673,0.6947,0.4404
3,B00HUOKT4Q,"Guinot Hydra Beaute Cleansing Milk, 5.9 ounce",Creams & Moisturizers,4.8,0.9577618221703001,0.958,,,,0.8555
7,B0093KNWO4,"Guinot Newhite Brightening Cleansing Oil, 6.7 Fl oz",Creams & Moisturizers,5.0,0.9522272789832152,0.952,,,,
26,B002TIR3YC,"Guinot Microbiotic Cleansing Foam, 5.07 Fl oz",Creams & Moisturizers,4.2,0.912527308788922,0.913,0.7281750000000001,,0.63622,
57,B00282MGLO,"Guinot Hydra Sensitve Cleanser, 6.8 Oz",Creams & Moisturizers,3.5,0.8814663783836499,0.881,0.360575,0.2092,0.46465,0.507
147,B00BCR5MU8,PRESCRIBEDsolutions Starting Up/Face Glycolic Antioxidant Cleanser,Creams & Moisturizers,4.2,0.815511650337889,0.816,0.5719,0.4111,,
1,B000CR4GAQ,"June Jacobs Creamy Cranberry Cleanser, 6.7 Fl Oz",Cleansers,3.3,0.9826311832187079,0.983,,,,
2,B0126T55D4,Shiseido Creamy Cleansing Emulsion (NEW) 200ml,Cleansers,4.6,0.9705043451732759,0.971,,,,
5,B01DU3WXZS,"Dermatologic Cosmetic Laboratories Balancing Cleanser, 6.7 fl. oz.",Cleansers,3.6,0.9560831933492624,0.956,,,,
6,B005FCD2CQ,theBalm TimeBalm Skincare White Tea Coconut Milk Cleansing Face Cream,Cleansers,5.0,0.9537401355164591,0.954,,,,
8,B015CEPV02,"TONYMOLY Timeless Ferment Snail Cleansing Gel, 5 Fl Oz",Cleansers,3.9,0.9510408356309443,0.951,,,,
