,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
20,B007Z90QDK,"Radical Skincare Anti-Aging Restorative Moisture, 1.7 fl oz",Treatments & Masks,4.3,0.9558736046810616,0.956,0.8316,,0.2732,0.8316
35,B001GAOVBW,"L'Occitane Immortelle Cream Mask, 4.4 oz.",Treatments & Masks,5.0,0.9367808767658218,0.937,,,0.4558,
79,B007UZUT7C,SKINOVAGE PX Perfect Combination Intense Balancing Cream For Face 1.69 oz- Best Natural Facial Cream for Day and Night,Treatments & Masks,5.0,0.9150301588915036,0.915,,,0.6588,
84,B000W0XVNG,"Juice Beauty Green Apple Age Defy Moisturizer, 2 fl. oz.",Treatments & Masks,3.8,0.9118342026776942,0.912,0.5823333333333334,0.54025,0.5379118518518519,0.49382826086956516
93,B000ULF8Q0,Epicuren Discovery Evening Emulsion Enzyme Moisturizer,Treatments & Masks,4.3,0.9090801680036988,0.909,,,0.5634777777777777,0.4337
130,B00283TEJ0,"Epicuren Discovery Colostrum Hydrating Mist, 2 Fl oz",Toners & Astringents,5.0,0.8892574664404069,0.889,,,,
156,B00C3ACPBM,"Epicuren Discovery Noni Skin Elixir, 2 Fl oz",Toners & Astringents,4.3,0.8699952857997457,0.87,,,0.4389,
213,B0017WJCVI,"Borghese Crema Straordinaria Tonic Balancing Softening Toner, 8.4 fl. oz.",Toners & Astringents,5.0,0.8362526665530458,0.836,,,0.3612,
225,B008H6MTOY,"Erno Laszlo Shake-It Tinted Treatment, Shade 2, 6.8 fl. oz.",Toners & Astringents,5.0,0.826081904571815,0.826,,0.3612,0.621175,
545,B0029XFNV2,"L'Occitane Olive Tree Organic Toning Face Mist, 5.1 fl. oz.",Toners & Astringents,5.0,0.62823777270203,0.628,,,0.2724,
154,B000IOLA20,Bioelements Starter Kit for Dry Skin,Sets & Kits,4.6,0.8715054969124502,0.872,0.3612,,0.5710666666666667,0.6693666666666668
268,B0153G2PPS,ELEMIS Voyage of Discovery Kit,Sets & Kits,3.9,0.8003535369272158,0.8,,,0.5155,
304,B0153ETTBS,ELEMIS Super Enriching Future Kit,Sets & Kits,4.3,0.7808758212016165,0.781,,,0.508375,0.62685
378,B01D90C69U,"StriVectin Skin Restoring Essentials Kit, 2.7 oz.",Sets & Kits,2.5,0.7320248858689853,0.732,,,,
405,B01H5IVE2W,"ELEMIS Breast Cancer Care Wellbeing Collection Skin Care Set, 19.2 fl. oz.",Sets & Kits,4.0,0.712257672244478,0.712,,,0.7257,
48,B00P2UY7ZM,"Osmosis Quench Intense Moisturizer, Travel Size, 0.2 fl. Oz.",Not listed,5.0,0.9303901388293797,0.93,,,,
72,B009K71VB6,Jouer Matte Moisture Tint,Not listed,4.2,0.9174592770361767,0.917,0.57735,0.47705000000000003,0.5169444444444444,0.6274222222222222
74,B000Z61VVQ,"Juice Beauty SPF 30 Tinted Mineral Moisturizer, 2  Fl Oz",Not listed,3.9,0.9170533204482079,0.917,0.4416357142857143,0.44552222222222226,0.5497802919708029,0.53225
78,B00DRK72B0,"Jurlique Purely Age Defying Firming Face Oil, 1.6 Fl Oz",Not listed,4.2,0.9155321316023932,0.916,0.3252,,0.5919764705882353,0.5859
106,B00BJ1C6CE,"Eau Thermale Avène Mattifying Fluid, 1.7 fl. oz.",Not listed,3.9,0.90071297709542,0.901,0.7164,0.6369,0.5755894736842105,0.40085000000000004
181,B00819T7WO,"Aromatherapy Associates Mattifying Purifying Facial Scrub, 3.4 fl.oz.","Exfoliators, Polishes & Scrubs",5.0,0.8573101337456206,0.857,,,0.5924,
458,B00C5GVHO0,"eShave Face Scrub, 1.7 oz.","Exfoliators, Polishes & Scrubs",5.0,0.6747807196135605,0.675,,,,0.802
720,B001G60FCK,"L'Occitane Exfoliating Rice Powder, 1.7 oz.","Exfoliators, Polishes & Scrubs",3.0,0.5352088262214325,0.535,,,,0.2023
779,B00070JJ4G,"NEOVA Reveal Exfoliator, 20% Glycolic, 2.0 Fl Oz","Exfoliators, Polishes & Scrubs",4.2,0.5106020756081693,0.511,0.5488500000000001,0.9446,0.5648333333333334,0.5859
825,B000IB0GO6,Task Essential New Skin Facial Exfoliator,"Exfoliators, Polishes & Scrubs",5.0,0.49064381762229486,0.491,,,,
0,B001MA5YJE,"NUXE Nuxuriance Anti-Aging Re-Densifying Day Cream for Normal to Dry Skin, 1.5 oz.",Creams & Moisturizers,3.7,0.9890418309024072,0.989,0.5984,,0.51088,
1,B007CKT39A,"L'Occitane Immortelle Brightening Moisture Cream, 1.7 oz.",Creams & Moisturizers,4.6,0.9822791635609609,0.982,,,0.7726999999999999,
2,B00OZ6NFHA,Obagi Medical Hydrate Facial Moisturizer 1.7 oz,Creams & Moisturizers,4.1,0.9784982830131788,0.978,,,0.5515571428571429,
3,B000CR0J0M,"Bioelements Crucial Moisture, 2.5 Ounce",Creams & Moisturizers,4.2,0.977273611606525,0.977,0.6657285714285714,0.694,0.5827242857142857,0.5179555555555555
4,B00AAR9I60,"Obagi Hydrate Facial Moisturizer, 1.7 oz.",Creams & Moisturizers,3.6,0.9745037475775027,0.975,0.48630625,0.3890555555555556,0.5394779069767441,0.47165625
19,B0018RGL1G,"Bioderma Sébium Mat Cream, 1.35 Fl Oz",Cleansers,3.5,0.9563446022493844,0.956,0.5719,,0.47757999999999995,
50,B00AH6S400,"Rituals 24H Hydrating Gel Cream, 1.6 fl. oz.",Cleansers,5.0,0.9292709092608576,0.929,,,,0.5267
64,B000HBOK30,Skin Moisturizer - Jurlique: Calendula Cream - 1.4 oz - Calms Aggravated Skin - Deeply Hydrates Sensitive Skin -...,Cleansers,4.2,0.9202922233150577,0.92,,,0.9695,
140,B000AZAO9C,"Natura Bisse Stabilizing Gel Cream, 2.5 fl. oz.",Cleansers,3.1,0.883602153891754,0.884,,,0.49729999999999996,0.1645
227,B00I8S6CFI,Susan Ciminelli Algae Deep Cleanse,Cleansers,5.0,0.8253259171005243,0.825,,,0.3818,
