,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
53,B00MOXQ8JI,"Osmosis Skincare Replenish Antioxidant Repair Serum, 1 Fluid Ounce",Treatments & Masks,3.3,0.8546946095316251,0.855,,,,
64,B0001XDU2Q,Anthony Glycolic Facial Cleanser,Treatments & Masks,4.1,0.8457205465130018,0.846,0.4686,0.5022357142857143,0.5504636363636364,0.4436375
69,B000CCML94,DERMAdoctor Wrinkle Revenge 1 antioxidant enhanced glycolic acid facial cleanser - 7 Oz,Treatments & Masks,4.3,0.8402363709809944,0.84,0.34103333333333335,0.4807428571428572,0.41532,0.4398
76,B0041EAV3M,"Anthony Logistics for Men Glycolic Cleanser, 2 Fl Oz",Treatments & Masks,4.5,0.8372677671268087,0.837,,,0.1255,
87,B00HYLOVLW,"Pevonia Micro Retinol Foaming Cleanser, 4 Fl Oz",Treatments & Masks,3.8,0.8321137094082909,0.832,,0.6486,,0.7177
16,B01AHOFREW,jane iredale BeautyPrep Face Toner,Toners & Astringents,3.5,0.8968953285930192,0.897,,,,
96,B0019V5HI4,"Pevonia Combination Skin Cleanser, 6.8 Fl Oz",Toners & Astringents,3.6,0.8236895321580315,0.824,0.5419666666666667,0.4868333333333334,0.44245,0.5918666666666668
105,B00K6PBEEU,ELEMIS White Brightening Even Tone Skin Care System,Toners & Astringents,2.9,0.8168441486624992,0.817,,,,
218,B00T72SWZM,"COSMEDIX Purity Solution, 3.3 Fluid Ounce",Toners & Astringents,5.0,0.7574918494349858,0.757,,0.438,0.5563,
309,B001HBPW2M,"Bioelements Acne Toner, 3-Ounce",Toners & Astringents,3.4,0.7209289869670077,0.721,,0.15175,0.0387,
11,B00I1BLRJ8,"Obagi Gentle Rejuvenation System Kit, 4 Count",Sets & Kits,4.5,0.9048597928628392,0.905,0.5859,,,0.5859
106,B004EB19LK,"Dr. Alkaitis Organic Skin Care Travel Kit, 4 pcs",Sets & Kits,3.8,0.8162738614497596,0.816,0.552,0.6426000000000001,0.5555187500000001,0.7036833333333332
145,B002DP8D36,Juice Beauty Age Defy Solutions Kit,Sets & Kits,3.4,0.7965272115890164,0.797,0.52964,0.44921428571428573,0.5463363636363636,0.5777375
150,B000W14OHM,Juice Beauty Organics To Go ($45 Value),Sets & Kits,3.6,0.7930470609049067,0.793,0.4085636363636364,0.6369,0.73858,0.7246545454545454
184,B00T3KEDRE,Epicuren Discovery Six-Step System,Sets & Kits,3.3,0.7772789588458178,0.777,,,,
262,B000ZJO1YW,"Pevonia Ligne Funamentale ""C"" Complexe , 1 Fl Oz",Not listed,4.1,0.7359052707605227,0.736,0.5423,,0.6222,0.54785
