,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
34,B00C1SZHBG,"DR. ALKAITIS Organic Flower Mask, 1.25 fl. oz.",Treatments & Masks,5.0,0.9262828811197898,0.926,,,,
130,B000CCML94,DERMAdoctor Wrinkle Revenge 1 antioxidant enhanced glycolic acid facial cleanser - 7 Oz,Treatments & Masks,4.3,0.8709955195777002,0.871,0.34103333333333335,0.4807428571428572,0.41532,0.4398
163,B0177RLDYU,"THALGO Mceutic Pro-Renewal Cleanser, 6.76 oz",Treatments & Masks,5.0,0.8557756672770326,0.856,,0.802,,
189,B002RCQJ2W,"Red Flower Lymphatic Phytopower Sea Cleanser and Masque,8.8 Fl oz",Treatments & Masks,4.4,0.8416314602049437,0.842,0.7906,0.1761,,0.6696
201,B00HYLOVLW,"Pevonia Micro Retinol Foaming Cleanser, 4 Fl Oz",Treatments & Masks,3.8,0.82809416862151,0.828,,0.6486,,0.7177
56,B01AHOFREW,jane iredale BeautyPrep Face Toner,Toners & Astringents,3.5,0.913356725644639,0.913,,,,
117,B0019V5HI4,"Pevonia Combination Skin Cleanser, 6.8 Fl Oz",Toners & Astringents,3.6,0.8766466265664578,0.877,0.5419666666666667,0.4868333333333334,0.44245,0.5918666666666668
118,B0018QXRCI,"Elemis Cleanser, Rehydrating Ginseng Toner For Women, 7.0 fl. oz.",Toners & Astringents,5.0,0.8758552292117645,0.876,,,,
216,B00H59AA2W,"Guinot Hydra Beaute Toning Lotion, 6.7 Fl oz",Toners & Astringents,4.8,0.8166936224019772,0.817,0.91,,0.91,
231,B00T72SWZM,"COSMEDIX Purity Solution, 3.3 Fluid Ounce",Toners & Astringents,5.0,0.7971721883574593,0.797,,0.438,0.5563,
21,B00FPORVRQ,Rodial Stemcell Super-food Kit,Sets & Kits,4.2,0.937288933883744,0.937,,,0.61578,
213,B0153G2PPS,ELEMIS Voyage of Discovery Kit,Sets & Kits,3.9,0.817936989830218,0.818,,,0.5155,
222,B004EB19LK,"Dr. Alkaitis Organic Skin Care Travel Kit, 4 pcs",Sets & Kits,3.8,0.8142990434255875,0.814,0.552,0.6426000000000001,0.5555187500000001,0.7036833333333332
234,B000W14OHM,Juice Beauty Organics To Go ($45 Value),Sets & Kits,3.6,0.7939080155699467,0.794,0.4085636363636364,0.6369,0.73858,0.7246545454545454
238,B0153FARWW,ELEMIS Radiant Moment Normal-Dry Kit,Sets & Kits,4.5,0.7882770007378103,0.788,,,0.6779,0.6044
441,B00BJ1C6CE,"Eau Thermale Avène Mattifying Fluid, 1.7 fl. oz.",Not listed,3.9,0.5486450852985518,0.549,0.7164,0.6369,0.5755894736842105,0.40085000000000004
462,B00DRK72B0,"Jurlique Purely Age Defying Firming Face Oil, 1.6 Fl Oz",Not listed,4.2,0.5238433381357595,0.524,0.3252,,0.5919764705882353,0.5859
474,B000ULR8KE,"Pevonia RS2 Concentrate Rose, 1 Fl Oz",Not listed,3.8,0.5181212802946981,0.518,0.7078000000000001,0.3977,0.47846666666666665,0.62975
504,B005WOIWFY,Personal Microderm Anti-Aging Recovery Moisturizer,Not listed,2.9,0.5053739758910476,0.505,,0.6361,0.4948333333333334,0.5563
512,B01AIU6NGG,"Michael Todd Blue Green Algae Balancing Toner to Enhance Freshly Cleansed Pores with Calming Minerals and Fortifying Nutrients, 8.4 Ounce",Not listed,4.5,0.5034920339516304,0.503,0.6622666666666667,0.5270833333333332,0.631990909090909,0.5256142857142858
0,B019QSK1YG,"Julep Korean Skincare Exfoliating, Hydrating Face Wash Set for Normal to Dry Sensitive Skin","Exfoliators, Polishes & Scrubs",3.6,0.9841453646127002,0.984,0.8835500000000001,0.9545,0.5800583333333332,
86,B00260GSWQ,"DDF Advanced Micro-Exfoliation Cleanser, 6 fl. oz.","Exfoliators, Polishes & Scrubs",3.2,0.8979387085200933,0.898,,0.39923333333333333,,
131,B000A3UX6S,"Juice Beauty Exfoliating Cleanser, 4  fl. oz.","Exfoliators, Polishes & Scrubs",3.2,0.870591306147024,0.871,,,0.4183333333333333,0.70235
217,B00GM3ZQXK,Julep All-Natural Charcoal Konjac Sponge,"Exfoliators, Polishes & Scrubs",3.8,0.815775139206342,0.816,0.6525083333333334,0.5035999999999999,0.5848555555555556,0.7777499999999999
261,B003K5JVHU,"CosMedix Purity Clean Exfoliating Cleanser, 100ml/3.3oz","Exfoliators, Polishes & Scrubs",3.6,0.7544678531883912,0.754,0.395,0.5113687499999999,0.51346,0.6439428571428572
7,B0019902VS,"Jurlique Replenishing Foaming Cleanser, 6.7 Fl Oz",Creams & Moisturizers,3.8,0.9550141355849204,0.955,0.6136199999999999,0.43915,,0.4818666666666667
59,B00282MGLO,"Guinot Hydra Sensitve Cleanser, 6.8 Oz",Creams & Moisturizers,3.5,0.9124194574760068,0.912,0.360575,0.2092,0.46465,0.507
170,B00EXW6XFM,"Guinot Instant Cleansing Water, 6.7 Fl oz",Creams & Moisturizers,3.9,0.8543156446068588,0.854,0.8016,,,
