,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
23,B00M9AL41I,"Natura Bisse Essential Shock Intense Complex, 1.0 fl. oz.",Treatments & Masks,5.0,0.87865794603665,0.879,,,0.3709,
32,B006HIY9Z6,"StriVectin-SH Dermal Infusion Mask, 4 fl. oz.",Treatments & Masks,5.0,0.8531629405681599,0.853,,,,
39,B00WR5RHL6,"LIFT LAB Lift + Fix Calm & Eliminate Redness/Inflammation Serum, 2 Fl Oz",Treatments & Masks,3.9,0.8418633048155295,0.842,,,,
42,B013WW8A0E,Elizabeth Arden Superstart Skin Renewal Booster,Treatments & Masks,4.4,0.8373042550067317,0.837,,,0.7044333333333334,
58,B002FZJN56,"June Jacobs Intensive Age Defying Hydrating Masque, 4 Fl Oz",Treatments & Masks,3.8,0.8280243758545425,0.828,,,0.1999,
72,B0001QNL5Y,"June Jacobs Cranberry Hydrating Toner, 6.7 Fl Oz",Toners & Astringents,5.0,0.8157933913148848,0.816,,,,
325,B00C3ACPBM,"Epicuren Discovery Noni Skin Elixir, 2 Fl oz",Toners & Astringents,4.3,0.6905775449449156,0.691,,,0.4389,
335,B008H6MTOY,"Erno Laszlo Shake-It Tinted Treatment, Shade 2, 6.8 fl. oz.",Toners & Astringents,5.0,0.688979402988952,0.689,,0.3612,0.621175,
358,B00172DITK,Mario Badescu Aloe Lotion,Toners & Astringents,3.4,0.6837986077428757,0.684,0.331775,,,
410,B00283TEJ0,"Epicuren Discovery Colostrum Hydrating Mist, 2 Fl oz",Toners & Astringents,5.0,0.669165284270953,0.669,,,,
50,B000IOLA20,Bioelements Starter Kit for Dry Skin,Sets & Kits,4.6,0.8327544066727743,0.833,0.3612,,0.5710666666666667,0.6693666666666668
102,B000AXRT3S,MenScience Androceuticals Daily Face Kit,Sets & Kits,3.1,0.7914023322942638,0.791,0.6146499999999999,0.2892666666666666,0.5851500000000001,0.49255
147,B00N2JNXUA,Jack Black The Jack Pack - Limited Edition Set,Sets & Kits,4.5,0.7696603537608008,0.77,,,0.5594,
182,B012VTGYR0,BeautyRx by Dr. Schultz Progressive Peel Replenishment Kit,Sets & Kits,5.0,0.7499171214892408,0.75,,,,
314,B017F0BEQQ,Karuna Skin Transformation Kit,Sets & Kits,3.6,0.6960422477978049,0.696,,,,
5,B01A5OO16E,"philosophy renewed hope for men mattifying moisturizer, 2.5 fl. oz.",Not listed,3.8,0.933390632931987,0.933,0.44146666666666673,0.38385,0.563290625,0.27
17,B00DRK72B0,"Jurlique Purely Age Defying Firming Face Oil, 1.6 Fl Oz",Not listed,4.2,0.8879345359604156,0.888,0.3252,,0.5919764705882353,0.5859
67,B005WOIWFY,Personal Microderm Anti-Aging Recovery Moisturizer,Not listed,2.9,0.819163984817465,0.819,,0.6361,0.4948333333333334,0.5563
90,B00E85YEZA,"skyn ICELAND Arctic Elixir, 0.845 fl. oz.",Not listed,3.8,0.8036176588314249,0.804,,0.6369,0.36705,0.2023
117,B00BJ1C6CE,"Eau Thermale Avène Mattifying Fluid, 1.7 fl. oz.",Not listed,3.9,0.7836113835966705,0.784,0.7164,0.6369,0.5755894736842105,0.40085000000000004
48,B00C5GVHO0,"eShave Face Scrub, 1.7 oz.","Exfoliators, Polishes & Scrubs",5.0,0.8339933585780653,0.834,,,,0.802
146,B00260GSCG,"DDF Acne Scrub, 8.45 fl. oz.","Exfoliators, Polishes & Scrubs",3.5,0.7700444951651854,0.77,,0.4518,0.6369,
153,B00T3N1VF8,boscia Exfoliating Peel Gel,"Exfoliators, Polishes & Scrubs",4.4,0.765553822984131,0.766,0.4932666666666666,0.3818,0.52105,0.7096
160,B002R8SE56,"Red Flower Bioactive Berry White Peat Exfoliant, 14.5 oz","Exfoliators, Polishes & Scrubs",5.0,0.7608743450691042,0.761,,0.788,,0.5306
171,B005LR8KDG,"Michael Todd True Organics Banana Pineapple Enzyme Exfoliate, 1.7 oz","Exfoliators, Polishes & Scrubs",3.2,0.7551902627360484,0.755,,,0.55245,0.5719
0,B0002ZODA6,MenScience Androceuticals Advanced Face Lotion,Creams & Moisturizers,4.0,0.953827688348126,0.954,0.45962499999999995,0.5232,0.5143358974358975,0.31315
1,B000XV83Y6,"Billy Jealousy Combination Code Face Moisturizer, 3 fl. oz.",Creams & Moisturizers,4.1,0.9457051048606457,0.946,0.4737,0.5199,0.5093583333333334,
2,B00MRFR68A,"Anthony Oil Free Facial Lotion SPF 30, 3 Fl Oz",Creams & Moisturizers,3.9,0.9452009064895623,0.945,0.6821,,0.55589375,
